Moana serial number, 874
Download time, 10/06/2025 09:00:02
Deck unit serial number, 5361
Moana calibration date, 17/08/2023
Moana Battery, 3.56 (V)
Date quality controlled, 2025-06-10T12:03:14 +0000
Vessel Name, Green Mountain 
Vessel ID, NA
Cellular upload position, NA
Deck unit battery voltage, 4.16
QC_FLAG Key, 1=good 2=probably good 3=probably bad 4=bad
,DATETIME [UTC],LATITUDE,LONGITUDE,TEMPERATURE [degC],DEPTH [m],QC_FLAG
306,2025-06-10T08:56:05,29.113936,197.529005,18.41,170.8,2
307,2025-06-10T08:56:09,29.113936,197.529005,18.6,169.1,2
308,2025-06-10T08:56:12,29.113936,197.529005,18.62,168.0,2
309,2025-06-10T08:56:14,29.113936,197.529005,18.63,167.0,2
310,2025-06-10T08:56:18,29.113936,197.529005,18.51,165.4,2
311,2025-06-10T08:56:21,29.113936,197.529005,18.51,164.4,2
312,2025-06-10T08:56:24,29.113936,197.529005,18.43,163.1,2
313,2025-06-10T08:56:27,29.113936,197.529005,18.43,161.8,2
314,2025-06-10T08:56:29,29.113936,197.529005,18.43,160.8,2
315,2025-06-10T08:56:32,29.113936,197.529005,18.43,159.7,2
316,2025-06-10T08:56:36,29.113936,197.529005,18.43,158.5,2
317,2025-06-10T08:56:38,29.113936,197.529005,18.43,157.4,2
318,2025-06-10T08:56:42,29.113936,197.529005,18.45,156.3,2
319,2025-06-10T08:56:44,29.113936,197.529005,18.47,155.0,2
320,2025-06-10T08:56:49,29.113936,197.529005,18.53,153.7,2
321,2025-06-10T08:56:51,29.113936,197.529005,18.54,152.4,2
322,2025-06-10T08:56:55,29.113936,197.529005,18.65,150.9,2
323,2025-06-10T08:56:59,29.113936,197.529005,18.71,149.3,2
324,2025-06-10T08:57:02,29.113936,197.529005,18.71,148.0,2
325,2025-06-10T08:57:06,29.113936,197.529005,18.76,147.0,2
326,2025-06-10T08:57:08,29.113936,197.529005,18.82,145.7,2
327,2025-06-10T08:57:11,29.113936,197.529005,18.91,144.5,2
328,2025-06-10T08:57:14,29.113936,197.529005,19.05,143.2,2
329,2025-06-10T08:57:18,29.113936,197.529005,19.17,141.4,2
330,2025-06-10T08:57:22,29.113936,197.529005,19.28,139.8,2
331,2025-06-10T08:57:25,29.113936,197.529005,19.36,138.7,2
332,2025-06-10T08:57:29,29.113936,197.529005,19.34,137.5,2
333,2025-06-10T08:57:32,29.113936,197.529005,19.35,136.4,2
334,2025-06-10T08:57:34,29.113936,197.529005,19.36,135.4,2
335,2025-06-10T08:57:37,29.113936,197.529005,19.38,134.0,2
336,2025-06-10T08:57:41,29.113936,197.529005,19.48,132.7,2
337,2025-06-10T08:57:43,29.113936,197.529005,19.54,131.5,2
338,2025-06-10T08:57:46,29.113936,197.529005,19.6,130.2,2
339,2025-06-10T08:57:50,29.113936,197.529005,19.69,128.9,2
340,2025-06-10T08:57:52,29.113936,197.529005,19.72,127.9,2
341,2025-06-10T08:57:54,29.113936,197.529005,19.81,126.4,2
342,2025-06-10T08:57:57,29.113936,197.529005,19.97,125.4,2
343,2025-06-10T08:58:00,29.113936,197.529005,20.09,124.0,2
344,2025-06-10T08:58:03,29.113936,197.529005,20.14,122.4,2
345,2025-06-10T08:58:06,29.113936,197.529005,20.16,121.2,2
346,2025-06-10T08:58:08,29.113936,197.529005,20.17,120.1,2
347,2025-06-10T08:58:11,29.113936,197.529005,20.2,118.9,2
348,2025-06-10T08:58:14,29.113936,197.529005,20.23,117.4,2
349,2025-06-10T08:58:16,29.113936,197.529005,20.26,116.1,2
350,2025-06-10T08:58:19,29.113936,197.529005,20.27,114.8,2
351,2025-06-10T08:58:21,29.113936,197.529005,20.3,113.6,2
352,2025-06-10T08:58:23,29.113936,197.529005,20.34,112.4,2
353,2025-06-10T08:58:26,29.113936,197.529005,20.38,111.1,2
354,2025-06-10T08:58:29,29.113936,197.529005,20.39,109.7,2
355,2025-06-10T08:58:31,29.113936,197.529005,20.41,108.6,2
356,2025-06-10T08:58:33,29.113936,197.529005,20.41,107.2,2
357,2025-06-10T08:58:35,29.113936,197.529005,20.44,105.7,2
358,2025-06-10T08:58:38,29.113936,197.529005,20.46,104.3,2
